2026-10-23	[Alex] Clean Alex's room
2026-10-23	[Don] Clean living room (B)
2026-10-24	[Alex] Sweep kitchen & living room (B)
2026-10-24	[Don] Clean Don & Suzi's room
2026-10-25	[Alex] Clean kitchen (B)
2026-10-25	[Don] Mop kitchen & living room
2026-10-26	[Alex] Clean bathroom
2026-10-27	[Alex] Clean living room (A)
2026-10-27	[Don] Clean kitchen (C)
2026-10-28	[Alex] Clean kitchen (A)
2026-10-29	[Alex] Clean backyard
2026-10-30	[Alex] Clean Alex's room
2026-10-30	[Don] Clean living room (B)
2026-10-31	[Alex] Sweep kitchen & living room (B)
2026-11-01	[Alex] Mop kitchen & living room
2026-11-02	[Don] Clean bathroom
2026-11-03	[Alex] Clean kitchen (C)
2026-11-03	[Don] Clean living room (A)
2026-11-04	[Alex] Sweep kitchen & living room (A)
2026-11-04	[Don] Clean kitchen (A)
2026-11-05	[Don] Clean backyard
2026-11-06	[Alex] Clean Alex's room
2026-11-06	[Don] Clean living room (B)
2026-11-07	[Alex] Sweep kitchen & living room (B)
2026-11-07	[Don] Clean Don & Suzi's room
2026-11-08	[Alex] Clean kitchen (B)
2026-11-09	[Alex] Clean bathroom
2026-11-10	[Alex] Clean living room (A)
2026-11-11	[Alex] Clean kitchen (A)
2026-11-12	[Alex] Clean backyard
2026-11-13	[Alex] Clean Alex's room
2026-11-13	[Don] Clean living room (B)
2026-11-14	[Alex] Sweep kitchen & living room (B)
2026-11-14	[Don] Clean Don & Suzi's room
2026-11-15	[Alex] Mop kitchen & living room
2026-11-15	[Don] Clean kitchen (B)
2026-11-16	[Don] Clean bathroom
2026-11-18	[Alex] Sweep kitchen & living room (A)
2026-11-18	[Don] Clean kitchen (A)
2026-11-19	[Don] Clean backyard
2026-11-20	[Alex] Clean Alex's room
2026-11-20	[Don] Clean living room (B)
2026-11-21	[Alex] Sweep kitchen & living room (B)
2026-11-21	[Don] Clean Don & Suzi's room
2026-11-22	[Alex] Clean kitchen (B)
2026-11-22	[Don] Mop kitchen & living room
2026-11-24	[Don] Clean kitchen (C)
2026-11-25	[Alex] Clean kitchen (A)
2026-11-25	[Don] Sweep kitchen & living room (A)
2026-11-26	[Alex] Clean backyard
2026-11-27	[Alex] Clean Alex's room
2026-11-27	[Don] Clean living room (B)
2026-11-28	[Alex] Sweep kitchen & living room (B)
2026-11-30	[Don] Clean bathroom
2026-12-01	[Alex] Clean kitchen (C)
2026-12-01	[Don] Clean living room (A)
2026-12-04	[Alex] Clean Alex's room
2026-12-04	[Don] Clean living room (B)
2026-12-05	[Alex] Sweep kitchen & living room (B)
2026-12-06	[Don] Mop kitchen & living room
2026-12-07	[Alex] Clean bathroom
2026-12-08	[Alex] Clean living room (A)
2026-12-10	[Alex] Clean backyard
2026-12-11	[Alex] Clean Alex's room
2026-12-11	[Don] Clean living room (B)
2026-12-13	[Alex] Mop kitchen & living room
2026-12-13	[Don] Clean kitchen (B)
2026-12-14	[Don] Clean bathroom
2026-12-15	[Alex] Clean kitchen (C)
2026-12-17	[Don] Clean backyard
2026-12-18	[Alex] Clean Alex's room
2026-12-18	[Don] Clean living room (B)
2026-12-20	[Alex] Clean kitchen (B)
2026-12-20	[Don] Mop kitchen & living room
2026-12-21	[Alex] Clean bathroom
2026-12-22	[Don] Clean kitchen (C)
2026-12-23	[Don] Sweep kitchen & living room (A)
2026-12-24	[Alex] Clean backyard
2026-12-25	[Don] Clean living room (B)
2026-12-26	[Alex] Sweep kitchen & living room (B)
2026-12-27	[Alex] Mop kitchen & living room
2026-12-27	[Don] Clean kitchen (B)
2026-12-28	[Don] Clean bathroom
